POI_ID *,LATITUDE,LONGTITUDE,STREET_NO,STREET,CITY,PROVINCE,COUNTRY,POSTAL_CODE,BRAND_NAME,FEATURE_NAME
24001781303,-9.86637,-67.8973,18,Estrada BR- 364 18,RIO BRANCO,AC,BR,,Aeroporto Internacional de Rio Branco,RBR
24001798216,-7.5966,-72.7736,12,Rodovia AC 407 12,CRUZEIRO DO SUL,AC,BR,,Aeroporto Internacional de Cruzeiro do Sul,CZS
24002242487,-9.666252,-35.735098,91,Rod Barao 104 91,MACEIO,AL,BR,,Aeroporto Internacional de Maceió,MCZ
24001782065,-3.356114,-64.72397,4485,Estrada do Aeroporto 4485,TEFE,AM,BR,,Aeroporto de Tefé,TFF
24001778662,-3.031572,-60.032712,1350,AV. SANTOS DUMONT 1350,MANAUS,AM,BR,,Aeroporto Internacional Eduardo Gomes - Manaus,MAO
24001785693,-4.2503,-69.9395,s/n,Praça Mal. do Ar Eduardo Gomes s/n,TABATINGA,AM,BR,,Aeroporto Internacional de Tabatinga,TBT
24001801604,0.04966,-51.069556,S/N,R. HILDEMAR MAIA S/N,MACAPA,AP,BR,,Aeroporto Internacional de Macapá,MCP
24001794727,-14.811802,-39.037256,s/n,R Brigadeiro Eduardo Gomes s/n,ILHEUS,BA,BR,,Aeroporto de Ihéus,IOS
24002253194,-9.39917,-38.2491,3,BR 110 km 3,SALVADOR,BA,BR,,Aeroporto Paulo Afonso,PAV
24002257584,-12.9144,-38.3349,s/n,Praça Gago Coutinho s/n,SALVADOR,BA,BR,,Aeroporto Internacional de Salvador-Deputado Luís Eduardo Magalhães,SSA
24001780320,-7.214211,-39.27677,4000,AV. VIRGÍLIO TÁVORA 4000,JUAZEIRO DO NORTE,CE,BR,,Aeroporto de Juazeiro do Norte,JDO
24002256132,-3.742687,-38.451631,3000,Av Senador Carlos Jereissati 3000,FORTALEZA,CE,BR,,Aeroporto Pinto Martins,FOR
24002232997,-15.873284,-47.90782,s/n,Aeroporto Internacional Pres Jucelino Kubitschek s/n,LAGO SUL,DF,BR,,Aeroporto Internacional Pres. Jucelino Kubitschek,BSB
24002239906,-20.286209,-40.303387,S/N,AV. FERNANDO FERRARI S/N,VITORIA,ES,BR,,Aeroporto de Vitória,VIX
24001783688,-5.53168,-47.456,s/n,Aeroporto de Imperatriz s/n,IMPERATRIZ,MA,BR,,Aeroporto de Imperatriz- Prefeito Renato Moreira,IMP
24002248228,-2.583351,-44.236753,s/n,Area Militar Gicla s/n,SAO LUIS,MA,BR,,Aeroporto Internacional Cunha Machado ,SLZ
24001796450,-19.851348,-43.956381,204,Pca Bagatelle 204,BELO HORIZONTE,MG,BR,,Aeroporto de Belo Horizonte/Pampulha,PLU
24002252091,-16.7049,-43.8196,s/n,Aeroporto de Montes Claros s/n,MONTES CLAROS,MG,BR,,Aeroporto de Montes Claros,MOC
24001788469,-18.8895,-48.23,100,Praça José Alves dos Santos 100,UBERLANDIA,MG,BR,,Aeroporto de Uberlândia,UDI
24001780956,-19.743187,-47.960256,2706,AV. NENÊ SABINO 2706,UBERABA,MG,BR,,Aeroporto de Uberaba,UBA
24001785083,-22.550133,-55.706451,770,Rua Batista de Azevedo 770,PONTA PORA,MS,BR,,Aeroporto Internacional de Ponta Porã,PMG
24001797857,-20.46256,-54.631603,S/N,AV. DQ. DE CAXIAS S/N,CAMPO GRANDE,MS,BR,,Aeroporto Internacional de Campo Grande,CGR
