POI_ID *,LATITUDE,LONGTITUDE,STREET_NO,STREET,CITY,PROVINCE,COUNTRY,POSTAL_CODE,BRAND_NAME,FEATURE_NAME
26201303,35.54391,-113.2817,,Sr-66,WILLIAMS,AZ,US,,Grand Canyon Caverns,1G4
26200133,40.652042,-75.429958,,Airport Rd At City Line Rd,ALLENTOWN,PA,US,18109,Lehigh Valley International Airport,ABE
26201230,32.4194,-99.67708,,Airport Blvd,ABILENE,TX,US,,Abilene Regional,ABI
26200103,35.04967,-106.622,,Sunport Blvd. Se At Yale Blvd. Se,ALBUQUERQUE,NM,US,87106,Albuquerque International Sunport,ABQ
26201301,45.45202,-98.43344,,Cr-19,ABERDEEN,SD,US,,Aberdeen Regional,ABR
26201277,31.54908,-84.19709,,W Oakridge Dr,ALBANY,GA,US,,Southwest Georgia Regional,ABY
26200079,41.258806,-70.065443,,30 Macy Lane,NANTUCKET,MA,US,2554,Nantucket Memorial Airport,ACK
26201236,31.60667,-97.21537,,Airport Rd,WACO,TX,US,,Waco Regional,ACT
26200206,40.969769,-124.107989,,Airport Blvd At Ryan Ave,HUMBOLDT,CA,US,95564,Arcata Airport,ACV
26200102,39.448737,-74.570307,,Amelia Earhart Blvd,EGG HARBOR TOWNSHIP,NJ,US,8401,Atlantic City International Airport,ACY
26201231,57.74963,-152.49792,,Albatross Ave,KODIAK,AK,US,,Kodiak,ADQ
26201680,32.967965,-96.829926,,16051 Addison Rd,ADDISON,TX,US,,Addison,ADS
26200217,31.32623,-92.52846,,Vandenburg At England Dr,ALEXANDRIA,LA,US,71303,Alexandria Regional,AEX
26201681,32.98635,-97.313524,,2221 Alliance Blvd,FT WORTH,TX,US,,Alliance,AFW
26200243,33.373388,-81.973133,,Doug Barnard Pkwy At Tobacco Rd,AUGUSTA,GA,US,30906,Augusta Regional Airport At Bush Field,AGS
26201737,33.91956,-83.30802,,1550 Aviation Way,ATHENS,GA,US,,Ben Epps Airport,AHN
26201274,58.69677,-156.66079,,Main St,S NAKNEK,AK,US,,King Salmon,AKN
26200106,42.742594,-73.809009,,737 Albany Shaker Rd.,ALBANY,NY,US,12211,Albany International Airport,ALB
26201669,32.842692,-105.99781,,3244 Airport Rd,ALAMOGORDO,NM,US,,White Sands Regl,ALM
26201275,42.5422,-92.3952,,Airport Blvd,WATERLOO,IA,US,,Waterloo Regional,ALO
26201991,37.44413,-105.86544,,Airport Rd At State Ave,ALAMOSA,CO,US,,San Luis Valley Regl,ALS
26201309,46.08532,-118.30495,,Rainier Dr,WALLA WALLA,WA,US,,Walla Walla Regional,ALW
26200000,35.21646,-101.70216,,Centennial Blvd And Rosenwald Dr,AMARILLO,TX,US,79101,Rick Husband International Airport,AMA
